Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
64.8312,12/04/23,8:45÷8:55,51.0,102.8,140.9,3.7,24.58,57.34,4.8,7.13,67.24,0.7,51.86,34.83,3.6,57.17,5.25,4.7,9.24,58.01,0.7,50.19,28.29
81.5838,12/04/23,11:21÷11:24,49.4,101.0,144.6,2.9,20.64,64.44,5.3,15.18,57.35,,,,2.0,42.15,27.93,5.1,8.94,50.00,,,
63.3633,12/04/23,13:53÷13:57,43.9,100.9,150.7,3.6,21.67,61.58,4.7,2.54,87.02,,,,4.3,61.28,3.83,4.8,10.46,63.27,,,
62.0091,13/04/23,9:14÷9:22,46.1,115.8,133.7,4.1,21.20,65.24,5.1,2.13,93.40,0.7,68.85,13.75,1.7,49.58,18.54,3.9,11.96,53.64,0.9,61.8,18.85
72.2289,13/04/23,11:35÷11:40,51.0,123.4,126.2,3.8,14.49,74.29,5.4,0.46,94.96,,,,3.0,23.53,50.63,4.6,3.71,71.9,,,
65.2500,13/04/23,14:44÷14:50,58.8,120.6,131.1,4.2,14.77,70.73,5.6,0.63,97.39,,,,2.8,26.48,33.03,5.5,2.42,78.64,,,
89.8927,17/04/23,9:00÷9:12,42.4,111.0,132.7,2.7,18.22,65.33,4.8,5.34,74.02,0.6,65.20,17.20,2.4,15.50,57.59,6.1,2.24,68.86,1.0,45.28,26.84
60.6615,17/04/23,11:28÷11:32,46.0,105.5,117.3,3.9,20.15,65.43,6.6,2.70,91.08,,,,1.9,42.41,32.14,4.8,3.75,80.18,,,
81.7534,17/04/23,13:39÷13:43,45.2,105.3,119.2,2.9,22.23,64.41,5.3,0.25,95.44,,,,2.4,25.33,40.79,5.1,3.43,65.22,,,
54.9335,20/04/23,9:08÷9:14,42.3,83.5,123.2,3.6,21.98,56.86,4.0,7.54,75.65,1.1,74.75,7.16,3.2,40.20,19.90,5.4,3.71,67.2,1.1,73.13,6.77
80.5386,20/04/23,11:41÷11:46,42.4,78.6,141.5,2.4,19.90,66.12,4.4,3.51,81.41,,,,3.0,31.16,42.38,6.1,7.56,53.91,,,
85.5434,20/04/23,15:43÷15:47,57.8,91.4,62.8,2.8,33.81,48.97,4.2,6.16,81.58,,,,2.2,32.45,34.51,3.4,3.95,72.07,,,
72.0461,21/04/23,9:00÷9:15,42.7,79.3,110.5,2.7,20.82,64.49,4.0,2.37,81.23,0.6,74.32,15.52,2.2,27.66,43.99,4.4,6.07,69.09,1.0,67.81,3.68
83.6541,21/04/23,11:30÷11:35,55.1,97.5,101.3,2.9,23.43,60.76,4.2,4.20,80.21,,,,1.8,41.49,29.78,3.4,14.48,52.17,,,
72.2911,21/04/23,14:00÷14:05,59.4,73.4,91.6,2.9,18.78,67.65,4.6,1.87,87.55,,,,1.7,42.77,28.72,3.5,10.6,53.08,,,
77.8340,26/04/23,8:43÷8:48,44.0,67.0,108.0,2.2,22.78,61.63,4.5,2.68,90.98,1.2,55.62,21.80,2.5,28.45,37.77,5.9,2.94,71.92,0.9,56.05,14.43
49.7911,26/04/23,11:38÷11:43,43.3,65.1,111.6,3.3,15.91,70.94,4.3,3.64,88.28,,,,3.5,11.14,67.15,5.6,2.36,68.91,,,
45.4948,26/04/23,14:15÷14:20,44.0,63.7,103.6,3.7,9.17,78.13,4.3,0.55,90.14,,,,4.0,7.33,69.88,6.0,0.54,82.03,,,
59.8296,27/04/23,9:11÷9:20,48.6,103.8,169.9,4.0,22.81,59.91,4.9,2.92,83.43,0.6,66.75,19.54,2.7,53.94,10.76,5.4,6.10,60.12,0.6,68.92,10.44
76.6223,27/04/23,11:24÷11:29,52.2,122.9,147.4,3.6,20.85,62.71,5.8,4.91,87.01,,,,2.3,46.15,27.74,4.8,10.15,58.78,,,
57.5952,27/04/23,13:44÷13:48,49.1,120.6,151.7,4.6,9.05,79.98,4.5,3.72,88.66,,,,4.7,25.49,39.56,7.0,3.17,82.64,,,
53.9911,28/04/23,9:08÷9:20,48.2,78.1,110.1,3.7,16.90,69.03,6.9,6.45,68.87,1.0,53.67,29.54,3.6,23.20,47.17,5.3,1.21,93.08,1.1,50.31,24.14
84.4437,28/04/23,11:27÷11:33,47.3,100.7,118.5,2.8,25.85,56.95,4.2,1.68,91.14,,,,1.7,44.9,31.68,3.0,11.38,59.61,,,
69.1662,28/04/23,13:40÷13:47,48.4,109.0,149.7,3.6,14.61,71.95,4.5,0.58,95.93,,,,2.7,49.04,21.66,9.9,0.22,94.11,,,
